name,link,city,area,cuisine,rating,votes,has_online_delivery,has_table_booking,price
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=809883,mumbai,Chembur,"Bakery, Desserts",4.7,974,1,0,₹300 for two
"Dabba Garam (Homestyle,Combo, Thali & More)",https://www.swiggy.com/dapi/menu/pl?restaurantId=422749,mumbai,CHEMBUR,"Home Food, North Indian, Thalis",4.3,15K+,1,0,₹150 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=41969,mumbai,Ghatkopar West,Pizzas,4,6.4K+,1,0,₹300 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=345430,mumbai,Ghatkopar West,"Burgers, Fast Food, Rolls & Wraps",4,2.6K+,1,0,₹400 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=28511,mumbai,Ghatkopar East,"Waffle, Desserts, Ice Cream",4.4,14K+,1,0,₹200 for two
Big Bowl,https://www.swiggy.com/dapi/menu/pl?restaurantId=296266,mumbai,Chembur,"Chinese, Tibetan, Desserts",4.4,5.6K+,1,0,₹300 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=50597,mumbai,Ghatkopar West,"Chinese, Asian, Tibetan, Desserts",4.4,3.3K+,1,0,₹250 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=809883,mumbai,Chembur,"Bakery, Desserts",4.7,974,1,0,₹300 for two
Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=332899,mumbai,"Sai Plaza, Ghatkopar","sandwich, Salads, wrap, Healthy Food",4.1,6.6K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=334353,mumbai,Arihant height,"Burgers, Beverages, Cafe, Desserts",4.5,10K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=24511,mumbai,Ghatkopar East,"Pizzas, Italian, Pastas, Desserts",4.1,8.7K+,1,0,₹400 for two
Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=764056,mumbai,Ghatkopar East,"Bakery, Desserts",4.6,2.2K+,1,0,₹400 for two
Sweet County Cake Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=627565,mumbai,Ghatkopar East,"Bakery, Cakes & Pastries, Desserts, Cakes",4.6,2.6K+,1,0,₹200 for two
LeanCrust Pizza- ThinCrust Experts,https://www.swiggy.com/dapi/menu/pl?restaurantId=681475,mumbai,Chembur,"Pizzas, Italian, Desserts",4.2,279,1,0,₹300 for two
Grameen Kulfi,https://www.swiggy.com/dapi/menu/pl?restaurantId=351116,mumbai,Pant Nagar,"Ice Cream, Desserts",4.7,837,1,0,₹120 for two
Natural Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=31987,mumbai,Ghatkopar East,"Ice Cream, Desserts",4.8,17K+,1,0,₹150 for two
Itminaan Matka Biryani - Slow Cooked,https://www.swiggy.com/dapi/menu/pl?restaurantId=313650,mumbai,Chembur,"Biryani, North Indian, Mughlai",4.3,755,1,0,₹400 for two
Hola Pasta - Fresh Gourmet Pasta,https://www.swiggy.com/dapi/menu/pl?restaurantId=740388,mumbai,Chembur,"Pastas, Italian, Desserts, Beverages",4,129,1,0,₹250 for two
BOOM - Sub Style Sandwiches,https://www.swiggy.com/dapi/menu/pl?restaurantId=692093,mumbai,Chembur,"Snacks, Indian, Desserts",4.4,239,1,0,₹250 for two
"Bhatti Chicken - Grilled, NOT Fried!",https://www.swiggy.com/dapi/menu/pl?restaurantId=616124,mumbai,Chembur,"North Indian, Snacks, Fast Food, Tandoor",4.6,107,1,0,₹250 for two
Mealful Rolls - India's Biggest Rolls,https://www.swiggy.com/dapi/menu/pl?restaurantId=274856,mumbai,Chembur,"Fast Food, Snacks, North Indian, Desserts",4.5,546,1,0,₹250 for two
McDonald's Gourmet Burger Collection,https://www.swiggy.com/dapi/menu/pl?restaurantId=395339,mumbai,Arihant height,"Burgers, Beverages, Cafe, Desserts",4.6,235,1,0,₹600 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=41969,mumbai,Ghatkopar West,Pizzas,4,6.4K+,1,0,₹300 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=345430,mumbai,Ghatkopar West,"Burgers, Fast Food, Rolls & Wraps",4,2.6K+,1,0,₹400 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=28511,mumbai,Ghatkopar East,"Waffle, Desserts, Ice Cream",4.4,14K+,1,0,₹200 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=50597,mumbai,Ghatkopar West,"Chinese, Asian, Tibetan, Desserts",4.4,3.3K+,1,0,₹250 for two
Big Bowl,https://www.swiggy.com/dapi/menu/pl?restaurantId=665112,mumbai,Chembur,"Chinese, Tibetan, Desserts",4.4,1.4K+,1,0,₹250 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=809883,mumbai,Chembur,"Bakery, Desserts",4.7,974,1,0,₹300 for two
Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=332899,mumbai,"Sai Plaza, Ghatkopar","sandwich, Salads, wrap, Healthy Food",4.1,6.6K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=334353,mumbai,Arihant height,"Burgers, Beverages, Cafe, Desserts",4.5,10K+,1,0,₹400 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=41969,mumbai,Ghatkopar West,Pizzas,4,6.4K+,1,0,₹300 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=345430,mumbai,Ghatkopar West,"Burgers, Fast Food, Rolls & Wraps",4,2.6K+,1,0,₹400 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=28511,mumbai,Ghatkopar East,"Waffle, Desserts, Ice Cream",4.4,14K+,1,0,₹200 for two
Big Bowl,https://www.swiggy.com/dapi/menu/pl?restaurantId=665112,mumbai,Chembur,"Chinese, Tibetan, Desserts",4.4,1.4K+,1,0,₹250 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=50597,mumbai,Ghatkopar West,"Chinese, Asian, Tibetan, Desserts",4.4,3.3K+,1,0,₹250 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=809883,mumbai,Chembur,"Bakery, Desserts",4.7,974,1,0,₹300 for two
Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=332899,mumbai,"Sai Plaza, Ghatkopar","sandwich, Salads, wrap, Healthy Food",4.1,6.6K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=334353,mumbai,Arihant height,"Burgers, Beverages, Cafe, Desserts",4.5,10K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=24511,mumbai,Ghatkopar East,"Pizzas, Italian, Pastas, Desserts",4.1,8.7K+,1,0,₹400 for two
Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=764056,mumbai,Ghatkopar East,"Bakery, Desserts",4.6,2.2K+,1,0,₹400 for two
Sweet County Cake Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=627565,mumbai,Ghatkopar East,"Bakery, Cakes & Pastries, Desserts, Cakes",4.6,2.6K+,1,0,₹200 for two
LeanCrust Pizza- ThinCrust Experts,https://www.swiggy.com/dapi/menu/pl?restaurantId=681475,mumbai,Chembur,"Pizzas, Italian, Desserts",4.2,279,1,0,₹300 for two
Grameen Kulfi,https://www.swiggy.com/dapi/menu/pl?restaurantId=351116,mumbai,Pant Nagar,"Ice Cream, Desserts",4.7,837,1,0,₹120 for two
Natural Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=31987,mumbai,Ghatkopar East,"Ice Cream, Desserts",4.8,17K+,1,0,₹150 for two
Itminaan Matka Biryani - Slow Cooked,https://www.swiggy.com/dapi/menu/pl?restaurantId=313650,mumbai,Chembur,"Biryani, North Indian, Mughlai",4.3,755,1,0,₹400 for two
Hola Pasta - Fresh Gourmet Pasta,https://www.swiggy.com/dapi/menu/pl?restaurantId=740388,mumbai,Chembur,"Pastas, Italian, Desserts, Beverages",4,129,1,0,₹250 for two
BOOM - Sub Style Sandwiches,https://www.swiggy.com/dapi/menu/pl?restaurantId=692093,mumbai,Chembur,"Snacks, Indian, Desserts",4.4,239,1,0,₹250 for two
"Bhatti Chicken - Grilled, NOT Fried!",https://www.swiggy.com/dapi/menu/pl?restaurantId=616124,mumbai,Chembur,"North Indian, Snacks, Fast Food, Tandoor",4.6,107,1,0,₹250 for two
Mealful Rolls - India's Biggest Rolls,https://www.swiggy.com/dapi/menu/pl?restaurantId=274856,mumbai,Chembur,"Fast Food, Snacks, North Indian, Desserts",4.5,546,1,0,₹250 for two
McDonald's Gourmet Burger Collection,https://www.swiggy.com/dapi/menu/pl?restaurantId=395339,mumbai,Arihant height,"Burgers, Beverages, Cafe, Desserts",4.6,235,1,0,₹600 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=41969,mumbai,Ghatkopar West,Pizzas,4,6.4K+,1,0,₹300 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=345430,mumbai,Ghatkopar West,"Burgers, Fast Food, Rolls & Wraps",4,2.6K+,1,0,₹400 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=28511,mumbai,Ghatkopar East,"Waffle, Desserts, Ice Cream",4.4,14K+,1,0,₹200 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=50597,mumbai,Ghatkopar West,"Chinese, Asian, Tibetan, Desserts",4.4,3.3K+,1,0,₹250 for two
Big Bowl,https://www.swiggy.com/dapi/menu/pl?restaurantId=665112,mumbai,Chembur,"Chinese, Tibetan, Desserts",4.4,1.4K+,1,0,₹250 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=809883,mumbai,Chembur,"Bakery, Desserts",4.7,974,1,0,₹300 for two
Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=332899,mumbai,"Sai Plaza, Ghatkopar","sandwich, Salads, wrap, Healthy Food",4.1,6.6K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=334353,mumbai,Arihant height,"Burgers, Beverages, Cafe, Desserts",4.5,10K+,1,0,₹400 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=16865,delhi,Janpath,Pizzas,4.4,5.6K+,1,0,₹350 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=152971,delhi,Connaught Place,"Burgers, Fast Food, Rolls & Wraps",4.5,6.7K+,1,0,₹400 for two
Oven Story Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=25397,delhi,Gandhi Market,"Pizzas, Pastas, Italian, Desserts, Beverages",4.1,5.4K+,1,0,₹400 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=467130,delhi,Asaf Ali Road,"Bakery, Desserts",4.7,3.5K+,1,0,₹300 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=242282,delhi,Connaught Place,"American, Fast Food, Beverages",4.6,3.4K+,1,0,₹400 for two
Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=21383,delhi,Connaught Place,"sandwich, Salads, wrap, Healthy Food",4.2,6.8K+,1,0,₹350 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=611110,delhi,Connaught Place,"Pizzas, Italian, Pastas, Desserts",4.5,1.7K+,1,0,₹400 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=8614,delhi,Connaught Place,"Burgers, American",4.4,45K+,1,0,₹350 for two
Blue Tokai Coffee Roasters,https://www.swiggy.com/dapi/menu/pl?restaurantId=378311,delhi,Connaught Place,"Cafe, Coffee, Beverages",4.7,1.6K+,1,0,₹600 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=659837,delhi,Karol Bagh,"Bakery, Desserts, Beverages, Snacks",4.7,13K+,1,0,₹299 for two
Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=58217,delhi,Connaught Place,"Bakery, Desserts",4.6,14K+,1,0,₹400 for two
Salad Days,https://www.swiggy.com/dapi/menu/pl?restaurantId=526516,delhi,Gole Market,Salads,4.7,5.4K+,1,0,₹600 for two
Goila Butter Chicken,https://www.swiggy.com/dapi/menu/pl?restaurantId=673905,delhi,Connaught Place,"North Indian, Biryani, Mughlai",4.1,308,1,0,₹600 for two
HRX by EatFit,https://www.swiggy.com/dapi/menu/pl?restaurantId=558793,delhi,GOLE MARKET,"Healthy Food, Salads, Burgers",4.5,601,1,0,₹450 for two
Bheemeshwara - A South Indian Delicacy,https://www.swiggy.com/dapi/menu/pl?restaurantId=669014,delhi,Connaught Place,"South Indian,  Biryani,  Andhra",4.4,4.4K+,1,0,₹350 for two
Natural Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=27797,delhi,Connaught Place,"Ice Cream, Desserts",4.8,18K+,1,0,₹150 for two
BOX8 - Desi Meals,https://www.swiggy.com/dapi/menu/pl?restaurantId=857152,delhi,KAROL BAGH,"Biryani, Thalis, Home Food",4.5,1.8K+,1,0,₹200 for two
LunchBox - Meals and Thalis,https://www.swiggy.com/dapi/menu/pl?restaurantId=62965,delhi,Connaught Place,"Thalis, North Indian, Biryani",4.3,12K+,1,0,₹200 for two
"Faasos - Wraps, Rolls & Shawarma",https://www.swiggy.com/dapi/menu/pl?restaurantId=25823,delhi,Connaught Place,"Kebabs, Fast Food, Snacks, American, Healthy Food, Desserts, Beverages",4.3,18K+,1,0,₹200 for two
Berco's -If You Love Chinese,https://www.swiggy.com/dapi/menu/pl?restaurantId=8564,delhi,Connaught Place,"Asian, Chinese",4.5,12K+,1,0,₹600 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=16865,delhi,Janpath,Pizzas,4.4,5.6K+,1,0,₹350 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=152971,delhi,Connaught Place,"Burgers, Fast Food, Rolls & Wraps",4.5,6.7K+,1,0,₹400 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=753312,delhi,Connaught Place,"Waffle, Desserts, Ice Cream",4.7,1.3K+,1,0,₹200 for two
Oven Story Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=25397,delhi,Gandhi Market,"Pizzas, Pastas, Italian, Desserts, Beverages",4.1,5.4K+,1,0,₹400 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=691733,delhi,Kashmere Gate,"Chinese, Asian, Tibetan, Desserts",4.3,956,1,0,₹250 for two
Big Bowl,https://www.swiggy.com/dapi/menu/pl?restaurantId=691734,delhi,Kashmere Gate Metro Station,"Chinese, Tibetan, Desserts",4.4,639,1,0,₹250 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=467130,delhi,Asaf Ali Road,"Bakery, Desserts",4.7,3.5K+,1,0,₹300 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=242282,delhi,Connaught Place,"American, Fast Food, Beverages",4.6,3.4K+,1,0,₹400 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=16865,delhi,Janpath,Pizzas,4.4,5.6K+,1,0,₹350 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=152971,delhi,Connaught Place,"Burgers, Fast Food, Rolls & Wraps",4.5,6.7K+,1,0,₹400 for two
Oven Story Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=25397,delhi,Gandhi Market,"Pizzas, Pastas, Italian, Desserts, Beverages",4.1,5.4K+,1,0,₹400 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=467130,delhi,Asaf Ali Road,"Bakery, Desserts",4.7,3.5K+,1,0,₹300 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=242282,delhi,Connaught Place,"American, Fast Food, Beverages",4.6,3.4K+,1,0,₹400 for two
Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=21383,delhi,Connaught Place,"sandwich, Salads, wrap, Healthy Food",4.2,6.8K+,1,0,₹350 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=611110,delhi,Connaught Place,"Pizzas, Italian, Pastas, Desserts",4.5,1.7K+,1,0,₹400 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=8614,delhi,Connaught Place,"Burgers, American",4.4,45K+,1,0,₹350 for two
Blue Tokai Coffee Roasters,https://www.swiggy.com/dapi/menu/pl?restaurantId=378311,delhi,Connaught Place,"Cafe, Coffee, Beverages",4.7,1.6K+,1,0,₹600 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=659837,delhi,Karol Bagh,"Bakery, Desserts, Beverages, Snacks",4.7,13K+,1,0,₹299 for two
Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=58217,delhi,Connaught Place,"Bakery, Desserts",4.6,14K+,1,0,₹400 for two
Salad Days,https://www.swiggy.com/dapi/menu/pl?restaurantId=526516,delhi,Gole Market,Salads,4.7,5.4K+,1,0,₹600 for two
Goila Butter Chicken,https://www.swiggy.com/dapi/menu/pl?restaurantId=673905,delhi,Connaught Place,"North Indian, Biryani, Mughlai",4.1,308,1,0,₹600 for two
HRX by EatFit,https://www.swiggy.com/dapi/menu/pl?restaurantId=558793,delhi,GOLE MARKET,"Healthy Food, Salads, Burgers",4.5,601,1,0,₹450 for two
Bheemeshwara - A South Indian Delicacy,https://www.swiggy.com/dapi/menu/pl?restaurantId=669014,delhi,Connaught Place,"South Indian,  Biryani,  Andhra",4.4,4.4K+,1,0,₹350 for two
Natural Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=27797,delhi,Connaught Place,"Ice Cream, Desserts",4.8,18K+,1,0,₹150 for two
BOX8 - Desi Meals,https://www.swiggy.com/dapi/menu/pl?restaurantId=857152,delhi,KAROL BAGH,"Biryani, Thalis, Home Food",4.5,1.8K+,1,0,₹200 for two
LunchBox - Meals and Thalis,https://www.swiggy.com/dapi/menu/pl?restaurantId=62965,delhi,Connaught Place,"Thalis, North Indian, Biryani",4.3,12K+,1,0,₹200 for two
"Faasos - Wraps, Rolls & Shawarma",https://www.swiggy.com/dapi/menu/pl?restaurantId=25823,delhi,Connaught Place,"Kebabs, Fast Food, Snacks, American, Healthy Food, Desserts, Beverages",4.3,18K+,1,0,₹200 for two
Berco's -If You Love Chinese,https://www.swiggy.com/dapi/menu/pl?restaurantId=8564,delhi,Connaught Place,"Asian, Chinese",4.5,12K+,1,0,₹600 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=16865,delhi,Janpath,Pizzas,4.4,5.6K+,1,0,₹350 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=152971,delhi,Connaught Place,"Burgers, Fast Food, Rolls & Wraps",4.5,6.7K+,1,0,₹400 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=753312,delhi,Connaught Place,"Waffle, Desserts, Ice Cream",4.7,1.3K+,1,0,₹200 for two
Oven Story Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=25397,delhi,Gandhi Market,"Pizzas, Pastas, Italian, Desserts, Beverages",4.1,5.4K+,1,0,₹400 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=691733,delhi,Kashmere Gate,"Chinese, Asian, Tibetan, Desserts",4.3,956,1,0,₹250 for two
Big Bowl,https://www.swiggy.com/dapi/menu/pl?restaurantId=691734,delhi,Kashmere Gate Metro Station,"Chinese, Tibetan, Desserts",4.4,639,1,0,₹250 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=467130,delhi,Asaf Ali Road,"Bakery, Desserts",4.7,3.5K+,1,0,₹300 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=242282,delhi,Connaught Place,"American, Fast Food, Beverages",4.6,3.4K+,1,0,₹400 for two
"Pizza Hut | Jail Road, Delhi",https://www.swiggy.com/dapi/menu/pl?restaurantId=11106,delhi,Jail Road,Pizzas,4.4,10K+,1,0,₹350 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=752532,delhi,Rajouri Garden,"Burgers, Fast Food, Rolls & Wraps",4.5,4.1K+,1,0,₹400 for two
Big Bowl,https://www.swiggy.com/dapi/menu/pl?restaurantId=546929,delhi,Rajouri Garden,"Chinese, Tibetan, Desserts",4.3,1.8K+,1,0,₹250 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=545333,delhi,Rajouri Garden,"Chinese, Asian, Tibetan, Desserts",4.3,3.3K+,1,0,₹250 for two
Oven Story Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=20971,delhi,Rajouri Garden,"Pizzas, Pastas, Italian, Desserts, Beverages",4.5,8.9K+,1,0,₹400 for two
Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=350704,delhi,Rajouri Garden,"Bakery, Desserts",4.8,9.8K+,1,0,₹300 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=254117,delhi,Tilak Nagar,"American, Fast Food, Beverages",4.6,33K+,1,0,₹400 for two
